,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
38,4.4,3.0,1.3,0.2
127,6.1,3.0,4.9,1.8
57,4.9,2.4,3.3,1.0
93,5.0,2.3,3.3,1.0
42,4.4,3.2,1.3,0.2
56,6.3,3.3,4.7,1.6
22,4.6,3.6,1.0,0.2
20,5.4,3.4,1.7,0.2
147,6.5,3.0,5.2,2.0
84,5.4,3.0,4.5,1.5
107,7.3,2.9,6.3,1.8
141,6.9,3.1,5.1,2.3
104,6.5,3.0,5.8,2.2
51,6.4,3.2,4.5,1.5
7,5.0,3.4,1.5,0.2
49,5.0,3.3,1.4,0.2
14,5.8,4.0,1.2,0.2
69,5.6,2.5,3.9,1.1
63,6.1,2.9,4.7,1.4
138,6.0,3.0,4.8,1.8
10,5.4,3.7,1.5,0.2
140,6.7,3.1,5.6,2.4
58,6.6,2.9,4.6,1.3
134,6.1,2.6,5.6,1.4
132,6.4,2.8,5.6,2.2
77,6.7,3.0,5.0,1.7
75,6.6,3.0,4.4,1.4
18,5.7,3.8,1.7,0.3
116,6.5,3.0,5.5,1.8
28,5.2,3.4,1.4,0.2
